location,x_coord,y_coord,z_coord,orientation
,0,0,0,4
BLK0010010101,120000,0,0,2
BLK0020020202,120000,0,1500,4
BLK0640010102,120000,800,0,4
BLK0640010104,120000,1800,0,4
BLK0640010106,120000,2700,0,4
BLK0640010108,120000,3600,0,4
MEZ0212010101,101000,0,0,4
MEZ0212010102,101000,0,0,4
MEZ0212010104,101000,0,0,4
MEZ0212010106,101000,0,0,4
MEZ0212010108,101000,0,0,4
PAL0152010501,65000,0,3000,4
PAL0152010502,65000,900,3000,4
PAL0152010503,65000,1800,3000,4
PAL0152010701,65000,0,4500,4
PAL0152010702,65000,900,4500,4
PAL0152010703,65000,1800,4500,4
PAL0152010901,65000,0,6000,4
PAL0152010902,65000,900,6000,4
PAL0152010903,65000,1800,6000,4
PAL0152011101,65000,0,7500,4
PAL0152011102,65000,900,7500,4
PAL0152011103,65000,1800,7500,4
PAL0152011301,65000,0,9000,4
PAL0152011302,65000,900,9000,4
PAL0152011303,65000,1800,9000,4
PAL0152020101,69700,0,0,2
PAL0152020102,69700,900,0,2
PAL0152020103,69700,1800,0,2
PAL0152020301,69700,0,1500,2
PAL0152020302,69700,900,1500,2
PAL0152020501,69700,0,3000,2
PAL0152020502,69700,900,3000,2
PAL0152020503,69700,1800,3000,2
PAL0152020701,69700,0,4500,2
PAL0152020702,69700,900,4500,2
PAL0152020703,69700,1800,4500,2
PAL0152020901,69700,0,6000,2
PAL0152020902,69700,900,6000,2
PAL0152020903,69700,1800,6000,2
PAL0152021101,69700,0,7500,2
PAL0152021102,69700,900,7500,2
PAL0152021103,69700,1800,7500,2
PAL0152021301,69700,0,9000,2
PAL0152021302,69700,900,9000,2
PAL0152021303,69700,1800,9000,2
PAL0152021501,69700,0,10500,2
PAL0152021502,69700,900,10500,2
PAL0152021503,69700,1800,10500,2
PAL0152030501,65000,2700,3000,4
PAL0152030502,65000,3600,3000,4
PAL0152030503,65000,4500,3000,4
PAL0152030701,65000,2700,4500,4
PAL0152030702,65000,3600,4500,4
PAL0152030703,65000,4500,4500,4
PAL0152030901,65000,2700,6000,4
PAL0152030902,65000,3600,6000,4
PAL0152030903,65000,4500,6000,4
PAL0152031101,65000,2700,7500,4
PAL0152031102,65000,3600,7500,4
PAL0152031103,65000,4500,7500,4
PAL0152031301,65000,2700,9000,4
PAL0152031302,65000,3600,9000,4
PAL0152031303,65000,4500,9000,4
PAL0152040101,69700,2700,0,2
PAL0152040102,69700,3600,0,2
PAL0152040103,69700,4500,0,2
PAL0152040301,69700,2700,1500,2
PAL0152040302,69700,3600,1500,2
PAL0152040303,69700,4500,1500,2
PAL0152040501,69700,2700,3000,2
PAL0152040502,69700,3600,3000,2
PAL0152040503,69700,4500,3000,2
PAL0152040701,69700,2700,4500,2
PAL0152040702,69700,3600,4500,2
PAL0152040703,69700,4500,4500,2
PAL0152040901,69700,2700,6000,2
PAL0152040902,69700,3600,6000,2
PAL0152040903,69700,4500,6000,2
PAL0152041101,69700,2700,7500,2
PAL0152041102,69700,3600,7500,2
PAL0152041103,69700,4500,7500,2
PAL0152041301,69700,2700,9000,2
PAL0152041302,69700,3600,9000,2
PAL0152041303,69700,4500,9000,2
PAL0152041501,69700,2700,10500,2
PAL0152041502,69700,3600,10500,2
PAL0152041503,69700,4500,10500,2
PAL0152050501,65000,5400,3000,4
PAL0152050502,65000,6300,3000,4
PAL0152050503,65000,7200,3000,4
PAL0152050701,65000,5400,4500,4
PAL0152050702,65000,6300,4500,4
PAL0152050703,65000,7200,4500,4
PAL0152050901,65000,5400,6000,4
PAL0152050902,65000,6300,6000,4
PAL0152050903,65000,7200,6000,4
PAL0152051101,65000,5400,7500,4
PAL0152051102,65000,6300,7500,4
PAL0152051103,65000,7200,7500,4
PAL0152051301,65000,5400,9000,4
PAL0152051302,65000,6300,9000,4
PAL0152051303,65000,7200,9000,4
PAL0152060101,69700,5400,0,2
PAL0152060102,69700,6300,0,2
PAL0152060103,69700,7200,0,2
PAL0152060301,69700,5400,1500,2
PAL0152060302,69700,6300,1500,2
PAL0152060303,69700,7200,1500,2
PAL0152060501,69700,5400,3000,2
PAL0152060502,69700,6300,3000,2
PAL0152060503,69700,7200,3000,2
PAL0152060701,69700,5400,4500,2
PAL0152060702,69700,6300,4500,2
PAL0152060703,69700,7200,4500,2
PAL0152060901,69700,5400,6000,2
PAL0152060902,69700,6300,6000,2
PAL0152060903,69700,7200,6000,2
PAL0152061101,69700,5400,7500,2
PAL0152061102,69700,6300,7500,2
PAL0152061103,69700,7200,7500,2
PAL0152061301,69700,5400,9000,2
PAL0152061302,69700,6300,9000,2
PAL0152061303,69700,7200,9000,2
PAL0152061501,69700,5400,10500,2
PAL0152061502,69700,6300,10500,2
PAL0152061503,69700,7200,10500,2
PAL0152070501,65000,8100,3000,4
PAL0152070502,65000,9000,3000,4
PAL0152070503,65000,9900,3000,4
PAL0152070701,65000,8100,4500,4
PAL0152070702,65000,9000,4500,4
PAL0152070703,65000,9900,4500,4
PAL0152070901,65000,8100,6000,4
PAL0152070902,65000,9000,6000,4
PAL0152070903,65000,9900,6000,4
PAL0152071101,65000,8100,7500,4
PAL0152071102,65000,9000,7500,4
PAL0152071103,65000,9900,7500,4
PAL0152071301,65000,8100,9000,4
PAL0152071302,65000,9000,9000,4
PAL0152071303,65000,9900,9000,4
PAL0152080101,69700,8100,0,2
PAL0152080102,69700,9000,0,2
PAL0152080103,69700,9900,0,2
PAL0152080301,69700,8100,1500,2
PAL0152080302,69700,9000,1500,2
PAL0152080303,69700,9900,1500,2
PAL0152080501,69700,8100,3000,2
PAL0152080502,69700,9000,3000,2
PAL0152080503,69700,9900,3000,2
PAL0152080701,69700,8100,4500,2
PAL0152080702,69700,9000,4500,2
PAL0152080703,69700,9900,4500,2
PAL0152080901,69700,8100,6000,2
PAL0152080902,69700,9000,6000,2
PAL0152080903,69700,9900,6000,2
PAL0152081101,69700,8100,7500,2
PAL0152081102,69700,9000,7500,2
PAL0152081103,69700,9900,7500,2
PAL0152081301,69700,8100,9000,2
PAL0152081302,69700,9000,9000,2
PAL0152081303,69700,9900,9000,2
PAL0152081501,69700,8100,10500,2
PAL0152081502,69700,9000,10500,2
PAL0152081503,69700,9900,10500,2
PAL0152090501,65000,10800,3000,4
PAL0152090502,65000,11700,3000,4
PAL0152090503,65000,12600,3000,4
PAL0152090701,65000,10800,4500,4
PAL0152090702,65000,11700,4500,4
PAL0152090703,65000,12600,4500,4
PAL0152090901,65000,10800,6000,4
PAL0152090902,65000,11700,6000,4
PAL0152090903,65000,12600,6000,4
PAL0152091101,65000,10800,7500,4
PAL0152091102,65000,11700,7500,4
PAL0152091103,65000,12600,7500,4
PAL0152091301,65000,10800,9000,4
PAL0152091302,65000,11700,9000,4
PAL0152091303,65000,12600,9000,4
PAL0152100101,69700,10800,0,2
PAL0152100102,69700,11700,0,2
PAL0152100103,69700,12600,0,2
PAL0152100301,69700,10800,1500,2
PAL0152100302,69700,11700,1500,2
PAL0152100303,69700,12600,1500,2
PAL0152100501,69700,10800,3000,2
PAL0152100502,69700,11700,3000,2
PAL0152100503,69700,12600,3000,2
PAL0152100701,69700,10800,4500,2
PAL0152100702,69700,11700,4500,2
PAL0152100703,69700,12600,4500,2
PAL0152100901,69700,10800,6000,2
PAL0152100902,69700,11700,6000,2
PAL0152100903,69700,12600,6000,2
PAL0152101101,69700,10800,7500,2
PAL0152101102,69700,11700,7500,2
PAL0152101103,69700,12600,7500,2
PAL0152101301,69700,10800,9000,2
PAL0152101302,69700,11700,9000,2
PAL0152101303,69700,12600,9000,2
PAL0152101501,69700,10800,10500,2
PAL0152101502,69700,11700,10500,2
PAL0152101503,69700,12600,10500,2
PAL0152110501,65000,13500,3000,4
PAL0152110502,65000,14400,3000,4
PAL0152110503,65000,15300,3000,4
PAL0152110701,65000,13500,4500,4
PAL0152110702,65000,14400,4500,4
PAL0152110703,65000,15300,4500,4
PAL0152110901,65000,13500,6000,4
PAL0152110902,65000,14400,6000,4
PAL0152110903,65000,15300,6000,4
PAL0152111101,65000,13500,7500,4
PAL0152111102,65000,14400,7500,4
PAL0152111103,65000,15300,7500,4
PAL0152111301,65000,13500,9000,4
PAL0152111302,65000,14400,9000,4
PAL0152111303,65000,15300,9000,4
PAL0152120101,69700,13500,0,2
PAL0152120102,69700,14400,0,2
PAL0152120103,69700,15300,0,2
PAL0152120301,69700,13500,1500,2
PAL0152120302,69700,14400,1500,2
PAL0152120303,69700,15300,1500,2
PAL0152120501,69700,13500,3000,2
PAL0152120502,69700,14400,3000,2
PAL0152120503,69700,15300,3000,2
PAL0152120701,69700,13500,4500,2
PAL0152120702,69700,14400,4500,2
PAL0152120703,69700,15300,4500,2
PAL0152120901,69700,13500,6000,2
PAL0152120902,69700,14400,6000,2
PAL0152120903,69700,15300,6000,2
PAL0152121101,69700,13500,7500,2
PAL0152121102,69700,14400,7500,2
PAL0152121103,69700,15300,7500,2
