location,task_date,task,task_count,task_quantity
2PA112230201,"2018-02-02 00:00:00",3,1,0
BLK0640010102,"2018-01-02 00:00:00",3,1,0
BLK0640010104,"2018-02-07 00:00:00",3,2,0
BLK0640010104,"2018-02-14 00:00:00",3,1,0
BLK0640010104,"2018-02-20 00:00:00",3,2,0
BLK0640010104,"2018-05-30 00:00:00",3,1,0
BLK0640010104,"2018-06-01 00:00:00",3,1,0
BLK0640010106,"2018-01-02 00:00:00",3,1,0
BLK0640010106,"2018-01-03 00:00:00",3,2,0
BLK0640010106,"2018-01-04 00:00:00",3,2,0
BLK0640010106,"2018-01-09 00:00:00",3,2,0
BLK0640010106,"2018-01-26 00:00:00",3,5,0
BLK0640010106,"2018-02-05 00:00:00",3,7,0
BLK0640010106,"2018-02-12 00:00:00",3,5,0
BLK0640010106,"2018-02-16 00:00:00",3,8,0
BLK0640010106,"2018-02-23 00:00:00",3,4,0
BLK0640010108,"2018-05-01 00:00:00",3,2,0
BLK0640010108,"2018-05-04 00:00:00",3,1,0
BLK0640010108,"2018-05-17 00:00:00",3,1,0
BLK0640010108,"2018-05-18 00:00:00",3,2,0
BLK0640010108,"2018-05-21 00:00:00",3,1,0
BLK0640010108,"2018-05-24 00:00:00",3,13,0
BLK0640010108,"2018-06-06 00:00:00",3,2,0
BLK0640010112,"2018-01-03 00:00:00",3,2,0
BLK0640010112,"2018-01-10 00:00:00",3,1,0
BLK0640010112,"2018-01-26 00:00:00",3,1,0
BLK0640010112,"2018-02-05 00:00:00",3,1,0
BLK0640010112,"2018-03-23 00:00:00",3,2,0
BLK0640010112,"2018-04-03 00:00:00",3,3,0
BLK0640010112,"2018-04-06 00:00:00",3,1,0
BLK0640010112,"2018-04-13 00:00:00",3,2,0
BLK0640010112,"2018-04-24 00:00:00",3,3,0
BLK0640010112,"2018-05-31 00:00:00",3,1,0
BLK0640010112,"2018-06-01 00:00:00",3,1,0
BLK0640010114,"2018-01-22 00:00:00",3,1,0
BLK0640010114,"2018-01-24 00:00:00",3,4,0
BLK0640010114,"2018-01-25 00:00:00",3,1,0
BLK0640010114,"2018-02-08 00:00:00",3,1,0
BLK0640010114,"2018-02-15 00:00:00",3,5,0
BLK0640010114,"2018-02-19 00:00:00",3,1,0
BLK0640010114,"2018-02-22 00:00:00",3,2,0
BLK0640010114,"2018-02-27 00:00:00",3,7,0
BLK0640010114,"2018-03-01 00:00:00",3,3,0
BLK0640010114,"2018-03-02 00:00:00",3,2,0
BLK0640010114,"2018-03-27 00:00:00",3,2,0
BLK0640010114,"2018-04-04 00:00:00",3,3,0
BLK0640010114,"2018-04-06 00:00:00",3,2,0
BLK0640010114,"2018-04-10 00:00:00",3,2,0
BLK0640010114,"2018-04-13 00:00:00",3,3,0
BLK0640010118,"2018-05-31 00:00:00",3,4,0
BLK0640010118,"2018-06-08 00:00:00",3,5,0
BLK0640010118,"2018-07-09 00:00:00",3,3,0
BLK0640010120,"2018-01-04 00:00:00",3,6,0
BLK0640010120,"2018-01-08 00:00:00",3,9,0
BLK0640010120,"2018-02-23 00:00:00",3,10,0
BLK0640010120,"2018-03-13 00:00:00",3,14,0
BLK0640010120,"2018-03-20 00:00:00",3,3,0
BLK0640010120,"2018-06-07 00:00:00",3,2,0
BLK0640010122,"2018-01-03 00:00:00",3,3,0
BLK0640010122,"2018-01-04 00:00:00",3,16,0
BLK0640010122,"2018-03-20 00:00:00",3,25,0
BLK0640010122,"2018-04-03 00:00:00",3,4,0
BLK0640010122,"2018-04-06 00:00:00",3,3,0
BLK0640010122,"2018-04-24 00:00:00",3,1,0
BLK0640010122,"2018-04-27 00:00:00",3,1,0
BLK0640010122,"2018-05-04 00:00:00",3,4,0
BLK0640010122,"2018-05-11 00:00:00",3,5,0
BLK0640010122,"2018-05-18 00:00:00",3,1,0
BLK0640010122,"2018-06-01 00:00:00",3,2,0
BLK0640010122,"2018-06-12 00:00:00",3,3,0
BLK0640010124,"2018-01-16 00:00:00",3,1,0
BLK0640010124,"2018-01-25 00:00:00",3,12,0
BLK0640010124,"2018-01-26 00:00:00",3,2,0
BLK0640010124,"2018-02-01 00:00:00",3,3,0
BLK0640010124,"2018-02-07 00:00:00",3,2,0
BLK0640010124,"2018-02-08 00:00:00",3,1,0
BLK0640010124,"2018-02-09 00:00:00",3,4,0
BLK0640010124,"2018-02-28 00:00:00",3,2,0
BLK0640010124,"2018-03-01 00:00:00",3,1,0
BLK0640010124,"2018-03-07 00:00:00",3,1,0
BLK0640010124,"2018-03-08 00:00:00",3,1,0
BLK0640010124,"2018-03-12 00:00:00",3,3,0
BLK0640010124,"2018-03-13 00:00:00",3,1,0
BLK0640010124,"2018-03-15 00:00:00",3,1,0
BLK0640010124,"2018-03-20 00:00:00",3,6,0
BLK0640010124,"2018-05-31 00:00:00",3,1,0
BLK0640010124,"2018-06-06 00:00:00",3,2,0
BLK0640010124,"2018-06-07 00:00:00",3,3,0
BLK0640010124,"2018-06-14 00:00:00",3,1,0
BLK0640010124,"2018-06-18 00:00:00",3,2,0
BLK0640010124,"2018-06-27 00:00:00",3,3,0
BLK0640010124,"2018-07-03 00:00:00",3,1,0
BLK0640010124,"2018-07-06 00:00:00",3,1,0
BLK0640010124,"2018-07-11 00:00:00",3,2,0
BLK0640010124,"2018-07-13 00:00:00",3,2,0
BLK0640010132,"2018-02-12 00:00:00",3,4,0
BLK0640010132,"2018-02-16 00:00:00",3,4,0
BLK0640010132,"2018-02-23 00:00:00",3,1,0
BLK0640010132,"2018-03-12 00:00:00",3,1,0
BLK0640010132,"2018-03-20 00:00:00",3,1,0
BLK0640010132,"2018-03-23 00:00:00",3,4,0
BLK0640010132,"2018-06-18 00:00:00",3,2,0
BLK0640010132,"2018-06-25 00:00:00",3,2,0
BLK0640010132,"2018-07-02 00:00:00",3,3,0
BLK0640010132,"2018-07-04 00:00:00",3,4,0
BLK0640010132,"2018-07-16 00:00:00",3,2,0
BLK0640010132,"2018-07-23 00:00:00",3,1,0
BLK0640010132,"2018-07-27 00:00:00",3,2,0
BLK0640010144,"2018-01-02 00:00:00",3,3,0
BLK0640010144,"2018-01-09 00:00:00",3,1,0
BLK0640010144,"2018-03-20 00:00:00",3,2,0
BLK0640010144,"2018-04-23 00:00:00",3,10,0
BLK0640010144,"2018-04-27 00:00:00",3,16,0
BLK0640010144,"2018-05-04 00:00:00",3,2,0
BLK0640010144,"2018-06-05 00:00:00",3,1,0
BLK0640010144,"2018-06-06 00:00:00",3,7,0
BLK0640010146,"2018-01-11 00:00:00",3,9,0
BLK0640010146,"2018-02-09 00:00:00",3,1,0
BLK0640010146,"2018-03-06 00:00:00",3,1,0
BLK0640010146,"2018-03-09 00:00:00",3,2,0
BLK0640010146,"2018-04-16 00:00:00",3,1,0
BLK0640010146,"2018-04-24 00:00:00",3,1,0
BLK0640010146,"2018-04-25 00:00:00",3,6,0
BLK0640010146,"2018-05-01 00:00:00",3,5,0
BLK0640010146,"2018-05-03 00:00:00",3,13,0
BLK0640010146,"2018-05-04 00:00:00",3,1,0
BLK0640010146,"2018-05-11 00:00:00",3,9,0
BLK0640010146,"2018-05-17 00:00:00",3,1,0
BLK0640010146,"2018-05-18 00:00:00",3,3,0
BLK0640010146,"2018-05-21 00:00:00",3,2,0
BLK0640010146,"2018-05-22 00:00:00",3,1,0
BLK0640010148,"2018-02-07 00:00:00",3,12,0
BLK0640010148,"2018-03-06 00:00:00",3,3,0
BLK0640010148,"2018-03-08 00:00:00",3,10,0
BLK0640010148,"2018-03-19 00:00:00",3,1,0
BLK0640010148,"2018-03-20 00:00:00",3,4,0
BLK0640010148,"2018-03-21 00:00:00",3,4,0
BLK0640010148,"2018-03-23 00:00:00",3,1,0
BLK0640010148,"2018-03-26 00:00:00",3,4,0
BLK0640010148,"2018-03-27 00:00:00",3,6,0
